person,1,1
giant_panda,2,91
lizard,3,92
parrot,4,93
skateboard,5,41
sedan,6,3
ape,7,94
dog,8,18
snake,9,95
monkey,10,94
hand,11,96
rabbit,12,97
duck,13,98
cat,14,17
cow,15,21
fish,16,99
train,17,7
horse,18,19
turtle,19,100
bear,20,23
motorbike,21,4
giraffe,22,25
leopard,23,101
fox,24,102
deer,25,103
owl,26,104
surfboard,27,42
airplane,28,5
truck,29,8
zebra,30,24
tiger,31,105
elephant,32,22
snowboard,33,36
boat,34,9
shark,35,106
mouse,36,107
frog,37,107
eagle,38,109
earless_seal,39,110
tennis_racket,40,43
